,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
443,20129,01,02,05,15,28,33,04
444,20128,08,10,15,16,23,26,10
445,20127,01,04,18,19,26,31,07
446,20126,03,07,12,14,23,28,11
447,20125,05,12,16,26,30,31,13
448,20124,16,18,19,20,29,33,12
449,20123,01,03,18,19,26,29,03
450,20122,12,15,17,24,26,31,15
451,20121,02,04,06,21,25,29,03
452,20120,01,02,03,04,09,10,12
453,20119,01,09,22,28,32,33,15
454,20118,11,13,19,26,30,33,05
455,20117,07,08,09,10,16,27,07
456,20116,05,06,14,16,19,27,10
457,20115,01,04,12,20,25,32,02
458,20114,01,05,11,24,30,32,03
459,20113,01,03,07,10,22,32,11
460,20112,02,09,12,17,28,32,05
461,20111,06,09,17,22,24,26,16
462,20110,02,06,09,14,22,25,04
463,20109,06,13,16,20,23,32,13
464,20108,10,12,15,17,23,32,05
465,20107,03,09,11,24,25,28,16
466,20106,02,04,11,15,18,28,10
467,20105,06,14,19,20,22,24,01
468,20104,04,08,10,16,27,29,09
469,20103,04,09,10,22,28,32,08
470,20102,09,10,19,25,26,29,08
471,20101,10,17,24,25,28,30,15
472,20100,01,07,15,16,20,23,07
473,20099,05,06,11,12,15,30,12
474,20098,06,08,11,22,25,33,02
475,20097,02,08,21,25,26,30,10
476,20096,01,20,23,26,27,32,15
477,20095,03,09,16,17,20,26,02
478,20094,10,15,17,27,29,31,08
479,20093,04,05,10,13,15,19,15
480,20092,01,06,12,18,22,24,03
481,20091,01,09,11,12,16,19,16
482,20090,02,21,23,26,31,32,06
483,20089,02,14,16,21,29,30,10
484,20088,01,06,12,26,29,30,12
485,20087,11,15,20,23,25,33,10
486,20086,02,04,06,15,24,27,06
487,20085,01,02,05,09,19,24,16
488,20084,03,07,16,17,23,30,07
489,20083,01,19,25,26,30,31,12
490,20082,02,08,11,17,21,30,09
491,20081,01,05,13,14,27,33,15
492,20080,14,15,18,22,31,33,01
493,20079,05,12,20,21,22,29,14
494,20078,03,11,14,16,21,32,04
495,20077,03,10,16,21,25,27,12
496,20076,10,15,16,18,20,27,06
497,20075,03,11,13,20,24,30,16
498,20074,04,08,09,13,19,33,12
499,20073,05,07,11,13,27,29,03
500,20072,06,08,10,15,17,26,04
501,20071,09,11,12,13,22,23,08
502,20070,01,02,04,06,19,21,15
503,20069,03,09,10,13,18,26,04
504,20068,12,16,21,26,27,32,10
505,20067,04,07,09,23,27,30,08
506,20066,02,09,13,17,26,28,07
507,20065,09,15,18,21,23,26,08
508,20064,01,03,07,21,27,32,01
509,20063,12,15,16,22,29,32,14
510,20062,10,14,17,22,26,27,05
511,20061,08,17,24,26,27,31,04
512,20060,05,09,14,20,24,30,08
513,20059,02,04,10,17,22,25,14
514,20058,01,03,11,12,19,26,07
515,20057,09,14,21,23,26,32,03
516,20056,02,05,08,12,26,31,14
517,20055,01,05,07,23,28,30,12
518,20054,03,10,19,25,26,31,02
519,20053,02,14,15,16,32,33,01
520,20052,02,08,13,29,32,33,15
521,20051,03,06,08,11,19,28,08
522,20050,04,09,17,20,32,33,15
523,20049,01,07,09,12,18,22,04
524,20048,12,14,18,23,30,32,02
525,20047,04,10,17,19,28,32,01
526,20046,13,19,25,26,27,32,08
527,20045,02,03,15,21,22,33,16
528,20044,07,08,16,17,19,24,07
529,20043,01,11,24,25,27,30,07
530,20042,02,06,07,11,14,31,03
531,20041,06,07,16,22,24,25,13
532,20040,01,06,12,16,19,21,04
533,20039,02,09,10,11,16,29,02
534,20038,01,06,07,18,23,24,15
535,20037,01,04,11,13,17,24,15
536,20036,07,09,16,22,24,32,06
537,20035,10,14,24,25,28,33,11
538,20034,02,08,15,16,26,32,03
539,20033,07,10,12,21,31,32,01
540,20032,03,11,13,14,15,26,13
541,20031,02,05,09,15,16,27,09
542,20030,17,18,21,29,30,32,03
543,20029,01,12,18,20,30,32,05
544,20028,05,06,15,18,26,32,08
545,20027,12,13,14,24,25,28,06
546,20026,01,04,09,18,19,31,06
547,20025,01,09,10,15,20,29,02
548,20024,10,13,27,28,29,31,08
549,20023,04,05,20,21,30,33,08
550,20022,02,10,20,22,25,30,02
551,20021,02,06,14,16,27,31,07
552,20020,01,06,09,13,15,22,14
553,20019,15,19,27,28,30,33,03
554,20018,05,07,08,11,17,22,13
555,20017,02,04,07,15,20,27,04
556,20016,05,06,08,17,24,27,07
557,20015,08,09,22,24,30,33,01
558,20014,02,07,08,10,12,16,07
559,20013,02,08,10,20,21,30,14
560,20012,04,13,14,23,26,31,09
561,20011,04,05,07,17,18,29,01
562,20010,11,14,22,27,31,32,09
563,20009,03,06,08,14,19,26,12
564,20008,01,04,06,10,11,28,16
565,20007,05,12,17,20,25,31,10
566,20006,03,04,05,10,16,32,09
567,20005,11,16,17,22,26,32,04
568,20004,02,15,17,27,32,33,03
569,20003,09,17,26,29,30,32,03
570,20002,04,09,14,15,16,29,11
571,20001,02,15,23,26,29,30,02
572,19151,02,06,09,18,24,26,14
573,19150,02,09,14,22,27,29,02
574,19149,01,06,27,28,31,33,07
575,19148,09,10,13,20,26,27,08
576,19147,01,09,12,14,23,27,12
577,19146,01,04,10,12,30,32,14
578,19145,01,08,13,17,18,19,16
579,19144,02,12,15,19,27,30,03
580,19143,05,13,15,16,26,32,09
581,19142,08,14,24,27,29,33,09
582,19141,10,13,14,15,17,33,14
583,19140,02,04,09,11,14,22,05
584,19139,08,14,20,23,30,33,11
585,19138,02,06,12,30,31,32,11
586,19137,07,10,13,19,23,31,06
587,19136,12,14,15,17,29,33,12
588,19135,03,06,10,11,27,33,03
589,19134,01,04,06,22,29,30,03
590,19133,03,07,16,21,24,31,07
591,19132,04,06,11,14,19,33,07
592,19131,09,17,19,20,24,31,04
593,19130,01,07,09,11,24,32,16
594,19129,03,04,07,09,15,26,07
595,19128,03,08,12,16,17,19,08
596,19127,02,06,07,12,17,24,10
597,19126,02,14,17,29,32,33,16
598,19125,02,11,12,26,27,29,03
599,19124,04,09,30,31,32,33,01
600,19123,02,06,08,17,28,30,06
601,19122,04,10,15,19,21,23,02
602,19121,02,06,15,21,30,31,02
603,19120,10,12,27,31,32,33,03
604,19119,04,20,22,24,26,33,07
605,19118,12,14,15,25,28,31,04
606,19117,03,05,11,28,32,33,01
607,19116,01,08,09,13,16,33,01
608,19115,04,10,11,14,15,29,05
609,19114,02,04,09,11,12,30,01
610,19113,01,05,19,21,25,33,15
611,19112,03,12,14,17,23,27,01
612,19111,07,18,20,22,24,33,01
613,19110,01,18,22,26,27,28,08
614,19109,03,06,07,17,28,31,10
615,19108,07,13,19,22,25,32,13
616,19107,02,06,08,23,27,32,02
617,19106,02,14,22,27,30,33,14
618,19105,02,13,15,17,26,33,01
619,19104,01,05,16,17,18,24,10
620,19103,04,12,14,21,27,29,12
621,19102,03,08,12,16,20,32,12
622,19101,01,04,09,21,31,33,05
623,19100,01,04,12,13,30,32,08
624,19099,07,14,22,23,27,30,08
625,19098,03,11,12,14,17,26,09
626,19097,03,05,18,24,25,31,09
627,19096,05,07,12,18,27,32,11
628,19095,02,05,14,19,21,28,01
629,19094,05,10,12,18,19,27,06
630,19093,05,07,08,09,20,22,02
631,19092,09,17,27,28,32,33,08
632,19091,07,10,21,24,29,32,11
633,19090,02,03,06,08,14,22,04
634,19089,02,04,14,16,20,22,11
635,19088,13,14,15,21,23,29,13
636,19087,04,05,07,09,21,30,04
637,19086,16,22,24,26,28,31,06
638,19085,01,04,14,18,24,29,04
639,19084,04,08,14,18,20,27,03
640,19083,06,15,17,26,28,31,03
641,19082,07,16,19,22,24,28,02
642,19081,05,24,27,29,31,32,10
643,19080,03,06,08,20,24,32,07
644,19079,01,03,06,09,19,31,16
645,19078,01,17,27,29,31,33,12
646,19077,09,11,13,18,21,22,15
647,19076,12,15,19,20,29,32,14
648,19075,05,08,20,22,31,33,03
649,19074,12,21,27,29,31,33,04
650,19073,01,02,06,12,16,18,08
651,19072,02,09,13,15,22,30,15
652,19071,01,08,19,24,29,30,04
653,19070,06,15,18,19,24,32,09
654,19069,06,11,16,19,21,25,01
655,19068,03,14,20,24,26,33,10
656,19067,04,06,08,11,30,33,11
657,19066,01,14,17,20,22,32,04
658,19065,06,09,11,15,20,26,10
659,19064,12,20,24,25,30,33,12
660,19063,01,14,19,22,29,31,16
661,19062,07,13,16,23,26,30,01
662,19061,03,17,19,24,27,31,12
663,19060,03,04,14,20,23,27,01
664,19059,04,05,07,09,16,18,06
665,19058,07,08,12,21,23,27,12
666,19057,04,05,06,08,13,18,16
667,19056,13,14,17,19,21,29,01
668,19055,01,06,11,15,19,31,10
669,19054,07,10,11,15,24,26,11
670,19053,04,16,22,25,29,31,08
671,19052,03,06,09,13,16,19,16
672,19051,08,09,10,13,15,28,09
673,19050,04,06,10,11,21,23,02
674,19049,03,10,13,22,23,28,15
675,19048,03,07,10,12,18,29,10
676,19047,03,11,18,25,30,33,14
677,19046,02,12,16,22,25,32,06
678,19045,01,06,17,19,27,31,14
679,19044,06,14,16,17,23,29,07
680,19043,01,06,12,13,24,32,13
681,19042,15,17,19,22,25,26,04
682,19041,02,09,13,23,24,26,16
683,19040,05,06,09,18,23,31,11
684,19039,06,07,11,14,27,32,08
685,19038,09,12,21,27,29,30,05
686,19037,01,07,12,14,18,25,10
687,19036,02,10,13,16,23,32,08
688,19035,01,05,07,09,10,20,16
689,19034,09,11,15,22,24,26,03
690,19033,09,15,19,21,23,29,15
691,19032,04,08,09,13,28,33,04
692,19031,03,13,15,18,21,33,16
693,19030,04,05,07,10,12,22,16
694,19029,08,11,17,23,32,33,10
695,19028,04,19,22,26,29,30,11
696,19027,02,06,08,10,11,17,13
697,19026,03,13,15,19,20,27,14
698,19025,15,16,21,27,30,33,04
699,19024,01,08,23,25,28,29,10
700,19023,01,10,14,15,18,31,13
701,19022,03,07,11,21,30,33,07
702,19021,02,05,07,08,20,27,04
703,19020,02,12,13,23,27,28,12
704,19019,03,11,17,18,24,25,06
705,19018,04,11,18,19,26,32,04
706,19017,04,05,24,28,30,33,09
707,19016,05,07,09,11,19,25,05
708,19015,11,15,16,20,24,31,04
709,19014,01,02,03,14,19,33,03
710,19013,05,07,14,16,18,21,01
711,19012,07,10,21,23,31,33,14
712,19011,10,13,19,21,24,30,07
713,19010,02,04,05,08,11,30,02
714,19009,01,07,10,22,31,32,15
715,19008,02,06,09,13,28,32,12
716,19007,06,10,14,15,19,23,15
717,19006,01,05,10,19,26,28,12
718,19005,21,22,26,28,31,32,07
719,19004,08,12,16,19,26,32,03
720,19003,13,17,20,21,22,27,01
721,19002,04,05,06,08,09,18,11
722,19001,06,10,13,15,32,33,15
723,18153,01,07,17,23,25,31,11
724,18152,04,14,16,23,28,29,03
725,18151,05,15,19,25,26,29,15
726,18150,06,08,15,19,20,31,05
727,18149,01,07,08,10,12,24,01
